unit,sex,age,isced11,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC,T,Y25-54,TOTAL,HU	6.4 b	6.8 	6.9 	7.2 	9.1 	10.4 	10.2 	10.0 	9.1 	6.8 	6.0 	4.5 
PC,T,Y25-54,TOTAL,IE	3.7 b	3.8 	4.1 b	5.5 	10.8 b	12.7 	13.7 	13.5 	12.0 	10.4 	8.7 	7.3 
PC,T,Y25-54,TOTAL,IS	1.7 b	1.8 	1.3 	1.9 	6.1 	6.3 	5.6 	4.6 	4.6 	4.3 	3.1 	2.5 
PC,T,Y25-54,TOTAL,IT	6.7 b	5.9 	5.3 	6.0 	6.9 	7.5 	7.5 	9.6 	11.2 	11.8 	11.2 	11.1 
PC,T,Y25-54,TOTAL,LT	7.9 b	5.4 	4.0 	5.2 	12.7 	16.7 	14.3 	12.6 	11.0 	9.9 	8.6 	7.4 
PC,T,Y25-54,TOTAL,LU	3.9 b	4.1 	3.4 b	4.2 	4.2 b	3.9 	4.3 	4.5 	5.3 	4.9 	5.8 b	5.3 
PC,T,Y25-54,TOTAL,LV	9.5 b	6.2 	5.7 	7.4 	16.2 	18.0 	14.8 	13.7 	11.0 	10.4 	9.5 	9.3 
PC,T,Y25-54,TOTAL,MK	: 	33.3 	32.3 	31.0 	29.6 	29.7 	28.7 	29.0 	26.9 	25.8 	24.6 	22.2 
PC,T,Y25-54,TOTAL,MT	5.0 b	5.1 	5.1 	4.9 	5.3 	5.9 	5.4 	5.1 	5.2 	4.6 	4.4 	3.9 
PC,T,Y25-54,TOTAL,NL	4.1 b	3.3 	2.5 	2.0 	2.7 	3.6 b	3.9 b	4.6 	6.0 	6.2 	5.6 	4.6 
PC,T,Y25-54,TOTAL,NO	3.7 b	2.9 b	1.9 	1.9 	2.4 	3.0 	2.7 	2.6 	2.9 	3.3 	4.0 	4.3 
PC,T,Y25-54,TOTAL,PL	15.7 b	12.2 	8.4 	6.1 	6.9 	8.3 b	8.2 	8.8 	9.0 	7.9 	6.6 	5.4 
PC,T,Y25-54,TOTAL,PT	7.2 b	7.3 	7.8 	7.2 	9.2 	10.7 	11.9 b	14.7 	15.5 	12.7 	11.2 	10.0 
PC,T,Y25-54,TOTAL,RO	6.4 b	6.4 	5.6 	5.0 	6.1 	6.3 b	6.3 	6.1 	6.4 	6.1 	6.2 	5.3 
PC,T,Y25-54,TOTAL,SE	6.3 b	5.3 	4.4 	4.3 	6.2 	6.5 	5.7 	5.9 	6.1 	6.0 	5.8 	5.5 
PC,T,Y25-54,TOTAL,SI	5.6 b	5.4 	4.5 	3.7 	5.3 	7.0 	7.8 	8.3 	9.7 	9.3 	8.7 	7.7 
PC,T,Y25-54,TOTAL,SK	14.5 b	11.9 	10.2 	8.7 	10.8 	12.8 	12.1 b	12.4 	12.8 	12.0 	10.5 	8.7 
PC,T,Y25-54,TOTAL,TR	: 	7.4 	7.4 	8.3 	11.1 	9.4 	7.7 	7.2 	7.6 	8.7 b	9.0 	9.7 
PC,T,Y25-54,TOTAL,UK	3.4 b	4.0 	3.8 b	4.2 b	5.8 	6.1 	6.1 	6.0 	5.7 	4.6 	4.0 	3.6 
PC,T,Y55-64,TOTAL,AT	4.0 b	4.0 	3.4 b	2.2 	2.7 	2.5 	3.6 	3.4 	3.8 	3.8 	4.7 	5.0 
PC,T,Y55-64,TOTAL,BE	4.4 b	4.8 	4.2 	4.4 	5.1 	4.6 	4.0 b	4.5 	5.4 	5.4 	5.6 	5.7 
PC,T,Y55-64,TOTAL,BG	8.6 b	7.9 	6.8 	5.5 b	6.3 	9.0 b	8.8 b	10.4 	12.4 	11.7 	8.7 	7.3 
PC,T,Y55-64,TOTAL,CH	3.7 b	3.1 	3.1 	2.6 	2.7 	3.5 b	3.5 	3.4 	3.3 	3.3 	4.0 	3.8 
PC,T,Y55-64,TOTAL,CY	3.5 bu	3.3 u	3.1 u	3.2 	4.3 b	4.7 	4.9 	9.7 	12.4 	16.3 	15.6 	11.5 
PC,T,Y55-64,TOTAL,CZ	5.2 b	5.3 	4.6 	3.9 	5.7 	6.5 	5.8 b	5.8 	5.8 	4.9 	4.4 	3.8 
PC,T,Y55-64,TOTAL,DE	12.7 b	12.4 	10.3 	8.5 	8.0 	7.6 b	6.4 b	5.9 	5.7 	5.1 	4.7 	3.9 
PC,T,Y55-64,TOTAL,DK	5.2 b	3.9 	3.4 	2.6 	4.1 	5.5 	5.7 	5.5 	5.1 	4.8 	4.4 	4.0 b
PC,T,Y55-64,TOTAL,EA18	7.4 b	7.1 	6.2 	5.8 	6.8 	7.3 	7.2 	7.9 	8.5 	8.4 	8.1 	7.6 
PC,T,Y55-64,TOTAL,EA19	7.4 b	7.1 	6.2 	5.8 	6.8 	7.3 	7.3 	8.0 	8.5 	8.4 	8.1 	7.6 
PC,T,Y55-64,TOTAL,EE	5.4 b	4.1 	3.6 	4.1 	9.3 	16.3 	11.6 	7.2 	6.0 	5.4 	6.0 	8.1 
PC,T,Y55-64,TOTAL,EL	3.8 b	3.7 	3.4 	3.2 	4.6 b	6.2 	8.4 	13.5 	16.2 	17.2 	17.5 	19.2 
PC,T,Y55-64,TOTAL,ES	6.3 b	5.8 	6.0 	7.4 	12.1 	14.2 	15.1 	18.0 	20.0 	20.0 	18.6 	17.0 
PC,T,Y55-64,TOTAL,EU27	6.4 b	6.1 	5.4 	5.0 	6.2 	6.7 	6.8 	7.2 	7.7 	7.4 	6.9 	6.5 
PC,T,Y55-64,TOTAL,EU28	6.4 b	6.1 	5.4 	5.1 	6.2 	6.7 	6.8 	7.3 	7.7 	7.4 	7.0 	6.5 
PC,T,Y55-64,TOTAL,FI	6.9 b	6.8 	6.3 	5.4 b	6.2 	6.5 	6.4 	6.6 	7.0 	7.3 	8.0 	7.5 
PC,T,Y55-64,TOTAL,FR	4.6 b	5.0 	4.4 	4.0 	5.4 	5.8 	5.7 	6.2 	7.0 	7.4 b	7.4 	7.2 
PC,T,Y55-64,TOTAL,HR	7.2 bu	6.0 bu	6.1 	5.5 	5.8 	6.5 	7.7 	10.4 	9.9 	11.6 	11.6 	9.6 
PC,T,Y55-64,TOTAL,HU	3.9 b	4.0 	4.4 	5.1 	6.5 	7.9 	9.2 	8.4 	8.1 	6.4 	5.8 	4.4 
PC,T,Y55-64,TOTAL,IE	2.8 b	2.4 	2.4 b	3.4 	6.6 b	8.7 	9.6 	10.5 	10.6 	9.3 	7.6 	6.2 
PC,T,Y55-64,TOTAL,IS	: bu	: u	: u	: u	3.7 	4.4 	5.5 	4.2 	3.2 	3.0 	3.2 	2.1 
PC,T,Y55-64,TOTAL,IT	3.5 b	2.9 	2.4 	3.1 	3.4 	3.6 	3.8 	5.3 	5.7 	5.5 	5.5 	5.7 
PC,T,Y55-64,TOTAL,LT	6.9 bu	6.1 u	3.7 u	4.4 u	10.5 	14.4 	13.4 	11.9 	11.2 	10.7 	8.7 	7.7 
PC,T,Y55-64,TOTAL,LU	: bu	: u	: bu	: u	3.0 bu	: u	2.8 u	2.1 u	4.7 	4.3 	4.7 b	5.0 
PC,T,Y55-64,TOTAL,LV	8.9 b	6.7 	4.5 	6.3 	13.8 	16.0 	14.9 	14.7 	10.5 	9.9 	9.3 	9.2 
PC,T,Y55-64,TOTAL,MK	: 	28.4 	28.0 	28.5 	26.3 	27.8 	28.2 	25.1 	24.1 	22.7 	20.8 	17.7 
PC,T,Y55-64,TOTAL,MT	3.4 bu	: u	3.5 u	3.9 u	5.8 	4.2 	2.9 u	3.8 	5.7 	6.3 	4.8 	3.2 
PC,T,Y55-64,TOTAL,NL	4.1 b	3.8 	3.6 	3.2 	3.1 	4.0 b	4.7 b	5.3 	6.8 	7.7 	8.1 	7.2 
PC,T,Y55-64,TOTAL,NO	1.5 b	1.1 b	0.9 	1.0 	1.1 	1.4 	1.2 	1.2 	1.3 	1.3 	1.6 	1.9 
PC,T,Y55-64,TOTAL,PL	10.8 b	8.5 	6.8 	5.3 	6.3 	7.1 b	6.9 	7.4 	7.7 	6.8 	5.4 	4.4 
PC,T,Y55-64,TOTAL,PT	6.1 b	6.3 	6.5 	6.6 	7.6 	8.9 	10.8 b	12.7 	13.7 	13.5 	12.5 	11.0 
PC,T,Y55-64,TOTAL,RO	2.4 b	2.6 	2.3 	2.5 	3.0 	3.3 b	3.7 	3.4 	3.7 	3.3 	3.7 	3.2 
PC,T,Y55-64,TOTAL,SE	4.5 b	4.4 	4.0 	3.8 	5.3 	5.8 	5.2 	5.2 	5.1 	5.4 	5.3 	5.3 
PC,T,Y55-64,TOTAL,SI	4.2 bu	2.5 u	3.3 u	4.0 u	3.6 u	4.0 u	6.3 	6.2 	7.0 	7.8 	7.8 	6.5 
PC,T,Y55-64,TOTAL,SK	13.4 b	9.8 	8.2 	6.4 	7.7 	10.1 	10.1 b	11.2 	11.0 	10.6 	9.3 	9.0 
PC,T,Y55-64,TOTAL,TR	: 	3.6 	3.5 	4.4 	5.6 	5.0 	4.3 	3.9 	4.7 	6.0 b	6.7 	6.2 
PC,T,Y55-64,TOTAL,UK	2.7 b	3.0 	3.2 b	3.1 b	4.6 	4.7 	5.0 	4.9 	4.8 	4.0 	3.4 	3.7 
